#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
07:20:57 04.14.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-8.212247467e+01,
+3.171739130e+06,-7.775574493e+01,
+5.343478261e+06,-8.034065247e+01,
+7.515217391e+06,-7.558321381e+01,
+9.686956522e+06,-8.108549500e+01,
+1.185869565e+07,-5.749151230e+01,
+1.403043478e+07,-6.311573410e+01,
+1.620217391e+07,-7.223469543e+01,
+1.837391304e+07,-6.895503998e+01,
+2.054565217e+07,-6.486568451e+01,
+2.271739130e+07,-7.695314026e+01,
+2.488913043e+07,-7.137801361e+01,
+2.706086957e+07,-7.084037018e+01,
+2.923260870e+07,-7.884944153e+01,
+3.140434783e+07,-7.779891205e+01,
+3.357608696e+07,-8.021369171e+01,
+3.574782609e+07,-8.014521027e+01,
+3.791956522e+07,-8.101942444e+01,
+4.009130435e+07,-7.645784760e+01,
+4.226304348e+07,-7.997171021e+01,
+4.443478261e+07,-8.081111908e+01,
+4.660652174e+07,-8.004121399e+01,
+4.877826087e+07,-8.716403198e+01,
+5.095000000e+07,-7.667681122e+01,
+5.312173913e+07,-7.859087372e+01,
+5.529347826e+07,-7.713613892e+01,
+5.746521739e+07,-8.334203339e+01,
+5.963695652e+07,-7.614449310e+01,
+6.180869565e+07,-8.535508728e+01,
+6.398043478e+07,-8.519635773e+01,
+6.615217391e+07,-9.203102875e+01,
+6.832391304e+07,-9.559242249e+01,
+7.049565217e+07,-9.629148102e+01,
+7.266739130e+07,-8.761286163e+01,
+7.483913043e+07,-9.668605804e+01,
+7.701086957e+07,-9.425644684e+01,
+7.918260870e+07,-8.805226135e+01,
+8.135434783e+07,-9.333506012e+01,
+8.352608696e+07,-9.095946503e+01,
+8.569782609e+07,-9.259748077e+01,
+8.786956522e+07,-9.520273590e+01,
+9.004130435e+07,-9.795745087e+01,
+9.221304348e+07,-6.145085526e+01,
+9.438478261e+07,-6.527317810e+01,
+9.655652174e+07,-6.177494431e+01,
+9.872826087e+07,-7.105844879e+01,
+1.009000000e+08,-8.990847778e+01,
+1.030717391e+08,-8.442066193e+01,
+1.052434783e+08,-9.508625793e+01,
+1.074152174e+08,-9.375382233e+01,
+1.095869565e+08,-9.560304260e+01,
+1.117586957e+08,-9.486468506e+01,
+1.139304348e+08,-1.004389877e+02,
+1.161021739e+08,-1.007561569e+02,
+1.182739130e+08,-9.760198975e+01,
+1.204456522e+08,-9.108748627e+01,
+1.226173913e+08,-9.093939972e+01,
+1.247891304e+08,-9.625463104e+01,
+1.269608696e+08,-1.013631516e+02,
+1.291326087e+08,-1.025151138e+02,
+1.313043478e+08,-9.848328400e+01,
+1.334760870e+08,-8.132986450e+01,
+1.356478261e+08,-9.604547882e+01,
+1.378195652e+08,-9.325778961e+01,
+1.399913043e+08,-8.820823669e+01,
+1.421630435e+08,-9.596259308e+01,
+1.443347826e+08,-9.164933014e+01,
+1.465065217e+08,-9.663277435e+01,
+1.486782609e+08,-9.796753693e+01,
