#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
09:38:33 04.15.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-9.712933350e+01,
+3.171739130e+06,-1.034207611e+02,
+5.343478261e+06,-1.042800980e+02,
+7.515217391e+06,-1.051140289e+02,
+9.686956522e+06,-1.045643463e+02,
+1.185869565e+07,-1.070413818e+02,
+1.403043478e+07,-1.072904358e+02,
+1.620217391e+07,-1.068890305e+02,
+1.837391304e+07,-1.072302399e+02,
+2.054565217e+07,-1.071024933e+02,
+2.271739130e+07,-1.061895752e+02,
+2.488913043e+07,-1.067939911e+02,
+2.706086957e+07,-1.080016403e+02,
+2.923260870e+07,-1.065663605e+02,
+3.140434783e+07,-1.066131592e+02,
+3.357608696e+07,-1.071328201e+02,
+3.574782609e+07,-1.076464996e+02,
+3.791956522e+07,-1.074237518e+02,
+4.009130435e+07,-1.053636322e+02,
+4.226304348e+07,-1.075307541e+02,
+4.443478261e+07,-1.068862839e+02,
+4.660652174e+07,-1.078393860e+02,
+4.877826087e+07,-1.057492294e+02,
+5.095000000e+07,-1.071602783e+02,
+5.312173913e+07,-1.070461731e+02,
+5.529347826e+07,-1.078253250e+02,
+5.746521739e+07,-1.075710907e+02,
+5.963695652e+07,-1.075450592e+02,
+6.180869565e+07,-1.076935730e+02,
+6.398043478e+07,-1.069159775e+02,
+6.615217391e+07,-1.062577209e+02,
+6.832391304e+07,-1.061613922e+02,
+7.049565217e+07,-1.062618256e+02,
+7.266739130e+07,-1.069645615e+02,
+7.483913043e+07,-1.072166672e+02,
+7.701086957e+07,-1.061865005e+02,
+7.918260870e+07,-1.063715668e+02,
+8.135434783e+07,-1.071825409e+02,
+8.352608696e+07,-1.064834137e+02,
+8.569782609e+07,-1.068758698e+02,
+8.786956522e+07,-1.056076813e+02,
+9.004130435e+07,-1.053218384e+02,
+9.221304348e+07,-1.059695053e+02,
+9.438478261e+07,-1.062365036e+02,
+9.655652174e+07,-1.063035812e+02,
+9.872826087e+07,-1.068572693e+02,
+1.009000000e+08,-1.074123535e+02,
+1.030717391e+08,-1.065726624e+02,
+1.052434783e+08,-1.063825607e+02,
+1.074152174e+08,-1.055120850e+02,
+1.095869565e+08,-1.069104233e+02,
+1.117586957e+08,-1.054586182e+02,
+1.139304348e+08,-1.058949890e+02,
+1.161021739e+08,-1.051474991e+02,
+1.182739130e+08,-1.065844345e+02,
+1.204456522e+08,-1.057454605e+02,
+1.226173913e+08,-1.053659210e+02,
+1.247891304e+08,-1.066630249e+02,
+1.269608696e+08,-1.051827393e+02,
+1.291326087e+08,-1.055200043e+02,
+1.313043478e+08,-1.065941544e+02,
+1.334760870e+08,-1.063109589e+02,
+1.356478261e+08,-1.060686569e+02,
+1.378195652e+08,-1.062048950e+02,
+1.399913043e+08,-1.057327118e+02,
+1.421630435e+08,-1.060935898e+02,
+1.443347826e+08,-1.055558929e+02,
+1.465065217e+08,-1.049042358e+02,
+1.486782609e+08,-1.051561737e+02,
