#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
11:25:50 04.23.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.855524445e+01,
+3.250086957e+08,-9.714626312e+01,
+3.250173913e+08,-9.569116974e+01,
+3.250260870e+08,-9.758265686e+01,
+3.250347826e+08,-9.755404663e+01,
+3.250434783e+08,-9.708247375e+01,
+3.250521739e+08,-9.720238495e+01,
+3.250608696e+08,-9.658078766e+01,
+3.250695652e+08,-9.672940826e+01,
+3.250782609e+08,-9.663121796e+01,
+3.250869565e+08,-9.731483459e+01,
+3.250956522e+08,-9.656455994e+01,
+3.251043478e+08,-9.728535461e+01,
+3.251130435e+08,-9.735491180e+01,
+3.251217391e+08,-9.718615723e+01,
+3.251304348e+08,-9.742518616e+01,
+3.251391304e+08,-9.743888092e+01,
+3.251478261e+08,-9.668463135e+01,
+3.251565217e+08,-9.729376221e+01,
+3.251652174e+08,-9.685746002e+01,
+3.251739130e+08,-9.676334381e+01,
+3.251826087e+08,-9.694161987e+01,
+3.251913043e+08,-9.677468872e+01,
+3.252000000e+08,-9.731505585e+01,
+3.252086957e+08,-9.723585510e+01,
+3.252173913e+08,-9.653684998e+01,
+3.252260870e+08,-9.662628937e+01,
+3.252347826e+08,-9.657688904e+01,
+3.252434783e+08,-9.622096252e+01,
+3.252521739e+08,-9.721967316e+01,
+3.252608696e+08,-9.661791992e+01,
+3.252695652e+08,-9.632872772e+01,
+3.252782609e+08,-9.686562347e+01,
+3.252869565e+08,-9.689236450e+01,
+3.252956522e+08,-9.638762665e+01,
+3.253043478e+08,-9.687464142e+01,
+3.253130435e+08,-9.711568451e+01,
+3.253217391e+08,-9.670099640e+01,
+3.253304348e+08,-9.725310516e+01,
+3.253391304e+08,-9.679706573e+01,
+3.253478261e+08,-9.697245026e+01,
+3.253565217e+08,-9.747126007e+01,
+3.253652174e+08,-9.711629486e+01,
+3.253739130e+08,-9.674774170e+01,
+3.253826087e+08,-9.758225250e+01,
+3.253913043e+08,-9.650037384e+01,
