#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
14:46:08 04.26.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.999018097e+01,
+3.250086957e+08,-9.358415985e+01,
+3.250173913e+08,-9.087046814e+01,
+3.250260870e+08,-9.217974854e+01,
+3.250347826e+08,-9.386020660e+01,
+3.250434783e+08,-9.359703827e+01,
+3.250521739e+08,-9.299313354e+01,
+3.250608696e+08,-8.772588348e+01,
+3.250695652e+08,-9.336637878e+01,
+3.250782609e+08,-9.197996521e+01,
+3.250869565e+08,-9.268516541e+01,
+3.250956522e+08,-9.338484192e+01,
+3.251043478e+08,-9.310793304e+01,
+3.251130435e+08,-9.224904633e+01,
+3.251217391e+08,-8.503813934e+01,
+3.251304348e+08,-9.270960236e+01,
+3.251391304e+08,-9.165098572e+01,
+3.251478261e+08,-8.613988495e+01,
+3.251565217e+08,-9.238060760e+01,
+3.251652174e+08,-9.380905914e+01,
+3.251739130e+08,-9.194454193e+01,
+3.251826087e+08,-8.075527191e+01,
+3.251913043e+08,-9.293256378e+01,
+3.252000000e+08,-9.299484253e+01,
+3.252086957e+08,-8.992843628e+01,
+3.252173913e+08,-9.236031342e+01,
+3.252260870e+08,-9.246209717e+01,
+3.252347826e+08,-8.904901123e+01,
+3.252434783e+08,-8.797693634e+01,
+3.252521739e+08,-9.308642578e+01,
+3.252608696e+08,-9.299815369e+01,
+3.252695652e+08,-9.074698639e+01,
+3.252782609e+08,-9.016951752e+01,
+3.252869565e+08,-9.341855621e+01,
+3.252956522e+08,-9.210442352e+01,
+3.253043478e+08,-9.182003021e+01,
+3.253130435e+08,-9.250982666e+01,
+3.253217391e+08,-9.260808563e+01,
+3.253304348e+08,-9.200637817e+01,
+3.253391304e+08,-9.137475586e+01,
+3.253478261e+08,-9.219747925e+01,
+3.253565217e+08,-9.171941376e+01,
+3.253652174e+08,-9.285051727e+01,
+3.253739130e+08,-9.235910797e+01,
+3.253826087e+08,-9.281546021e+01,
+3.253913043e+08,-8.754343414e+01,
